iter	Logloss
0	0.668367538
1	0.6484146169
2	0.6324974532
3	0.6125216828
4	0.5969031197
5	0.5788334405
6	0.5664597871
7	0.5549907215
8	0.544179849
9	0.5364192562
10	0.5308715014
11	0.5249557142
12	0.5152776986
13	0.5082695671
14	0.5022661132
15	0.4978615788
16	0.4926427274
17	0.4866856128
18	0.4794572089
19	0.4746613884
20	0.4692882994
21	0.4631141726
22	0.4593720875
23	0.4508667703
24	0.4445289823
25	0.4403987136
26	0.4355045557
27	0.4318468322
28	0.4254769825
29	0.4223044533
30	0.4194701145
31	0.4136341268
32	0.40872583
33	0.4064184831
34	0.4012206491
35	0.3988807843
36	0.3958066514
37	0.3917392407
38	0.3897928805
39	0.3864076825
40	0.382116748
41	0.3795125654
42	0.3771791093
43	0.3745762563
44	0.3709657712
45	0.3669803621
46	0.3647226942
47	0.3621821102
48	0.3594356065
49	0.3562457275
50	0.3523602608
51	0.3500590858
52	0.3475925282
53	0.3449522698
54	0.3420490118
55	0.3403991105
56	0.3354949859
57	0.3337561782
58	0.3309391161
59	0.3295977318
60	0.3275794531
61	0.324853142
62	0.3231988905
63	0.3216560091
64	0.3190297271
65	0.3176608088
66	0.3149830274
67	0.3129146151
68	0.3103504324
69	0.3078071326
70	0.3065571792
71	0.3040652144
72	0.3015604485
73	0.3001248261
74	0.2988299691
75	0.2972058838
76	0.294690818
77	0.2929095719
78	0.291821512
79	0.2901844858
80	0.2891075897
81	0.2877350471
82	0.2861336482
83	0.2847443865
84	0.2828566718
85	0.279543196
86	0.2785363105
87	0.2766378952
88	0.2749379067
89	0.2710567398
90	0.2698651273
91	0.267333453
92	0.2666262396
93	0.2644406354
94	0.2633566291
95	0.2617593871
96	0.2595796816
97	0.2576119865
98	0.2560288303
99	0.2538834915
100	0.2527247622
101	0.2502229609
102	0.248107958
103	0.2470688316
104	0.2448430144
105	0.2439887953
106	0.2416325465
107	0.239904394
108	0.2387269178
109	0.236541491
110	0.2355870267
111	0.2323921961
112	0.2314886914
113	0.2297334156
114	0.228174172
115	0.2261422162
116	0.2247918644
117	0.2237549452
118	0.2221040932
119	0.220595904
120	0.2195835696
121	0.2182057714
122	0.2165442841
123	0.2156951372
124	0.213732276
125	0.2126174995
126	0.2117483943
127	0.2102847596
128	0.2096719686
129	0.2077896258
130	0.2055321023
131	0.2041126221
132	0.2033100032
133	0.2027924361
134	0.2019455863
135	0.2013410833
136	0.200450218
137	0.1998451381
138	0.1986777885
139	0.1980404282
140	0.1974398481
141	0.1969002107
142	0.1954982953
143	0.1941296137
144	0.1933754482
145	0.1926957772
146	0.1922558204
147	0.1911088223
148	0.1899718752
149	0.1880583561
